| VÖ         | Artist                                                                | Album                                               | Genre                                    | Links                                                                                                                                                                     | Text                                                                                                                                                                                                                                                                                                            | Rezi                                                                                                      |
| ---------- | --------------------------------------------------------------------- | --------------------------------------------------- | ---------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | --------------------------------------------------------------------------------------------------------- |
| 01.07.2018 | Fifth Quadrant                                                        | Vision                                              | Progmetal                                | https://fifthquadrant.bandcamp.com/, https://www.facebook.com/fifthquadrantofficial/                                                                                      |                                                                                                                                                                                                                                                                                                                 |                                                                                                           |
| 02.07.2018 | Ars de Er                                                             | Fièvre                                              | RIO / Avantprog                          | https://ars-de-er.bandcamp.com/album/fi-vre                                                                                                                               | Eine Art Midi-Orchesterversion von "Univers Zéro". Soloprojekt aus Weißrussland.                                                                                                                                                                                                                                |                                                                                                           |
| 02.07.2018 | Devin Townsend Project                                                | Ocean Machine - Live At The Ancient Theatre         | Progmetal                                | https://www.youtube.com/watch?v=MlEXMS1DRLQ, https://www.youtube.com/watch?v=jhHxvAgjvEo                                                                                  | Theatralischer ProgMetal, 2017 live mitgeschnitten im schönen Amphitheater von Plovidv, Bulgarien                                                                                                                                                                                                               | https://www.betreutesproggen.de/2018/07/devin-townsend-project-ocean-machine-live-at-the-ancient-theater/ |
| 02.07.2018 | ZWOYLD                                                                | ZGOND                                               | RIO / Avantprog                          | https://zwoyld.bandcamp.com/album/zgond                                                                                                                                   | Frickelig-Zeuhliger Retro-Avantprog aus Frankreich.                                                                                                                                                                                                                                                             |                                                                                                           |
| 03.07.2018 | Dumb Waiter                                                           | HECK                                                | Avant-Jazzrock                           | https://dumbwaiterva.bandcamp.com/album/heck                                                                                                                              | Leider mit kaum 17 Minuten Laufzeit nur eine EP, aber trotzdem ein schöner Avant-Jazz Appetithappen.                                                                                                                                                                                                            |                                                                                                           |
| 04.07.2018 | Erupter                                                               | Erupter                                             | Postmetal                                | https://erupter.bandcamp.com/album/erupter                                                                                                                                |                                                                                                                                                                                                                                                                                                                 |                                                                                                           |
| 05.07.2018 | Grin                                                                  | II                                                  | Doom(?)                                  | https://grincult.bandcamp.com/album/ii                                                                                                                                    | Klaus sagt: #DoomCult aus Balin wa?                                                                                                                                                                                                                                                                             | vgl. https://www.betreutesproggen.de/2018/05/grin-revenant/                                               |
| 06.07.2018 | Dawnlit                                                               | True North                                          | Progmetal / Postrock                     | https://dawnlit.bandcamp.com/                                                                                                                                             | Pianolastiger, instrumentaler Progmetal                                                                                                                                                                                                                                                                         |                                                                                                           |
| 06.07.2018 | Geph                                                                  | Apophenia                                           | Instrumentaler Prog                      | https://geph.bandcamp.com/album/apophenia, https://www.facebook.com/GEPHband                                                                                              | Unkonventionelles Power-Trio bestehend aus zwei mal Chapman Stick und einem Drummer.                                                                                                                                                                                                                            |                                                                                                           |
| 06.07.2018 | Medussa                                                               | LA PALABRA HA MUERTO                                | Postrock                                 | https://medussaband.bandcamp.com/album/la-palabra-ha-muerto, https://www.facebook.com/medussaband                                                                         | Sehr schönes Postrock Album.                                                                                                                                                                                                                                                                                    |                                                                                                           |
| 06.07.2018 | Rare Form, P. Whitehill, and Mourning Rituals                         | Improvisations (w/ Mourning Rituals & P. Whitehill) | Ambient Drone / Neoklassik               | https://rareformofficial.bandcamp.com/album/improvisations-w-mourning-rituals-p-whitehill, https://www.facebook.com/RareFormOfficial/                                     | Dunkel-atmosphärisches Kollaborationsalbum zwischen Drone und Ambient                                                                                                                                                                                                                                           |                                                                                                           |
| 06.07.2018 | Resina                                                                | Traces                                              | Experimentelle zeitgenössische Klassik   | https://resina.bandcamp.com/album/traces, http://130701.com/artist/resina/, https://www.facebook.com/resinae/                                                             | Experimentelle, zeitgenössische Klassik von einer polnischen Cellistin. Effektvolles Cello, bisweilen unterlegt mit transzedentem Gesang und hier und da von Schlagzeug bzw. Perkussion unterstützt.                                                                                                            |                                                                                                           |
| 06.07.2018 | Tangled Thoughts of Leaving                                           | No Tether                                           | Instrumentaler Postrock                  | http://music.tangledthoughtsofleaving.com/album/no-tether                                                                                                                 |                                                                                                                                                                                                                                                                                                                 | https://www.betreutesproggen.de/2018/07/devin-townsend-project-ocean-machine-live-at-the-ancient-theater/ |
| 06.07.2018 | Yawning Man                                                           | The Revolt Against Tired Noises                     | Desert Rock / Psychedelic Rock           | https://yawningman.bandcamp.com/album/the-revolt-against-tired-noises, https://www.youtube.com/watch?v=sBmkvhWTy9A                                                        | Interview+Neuer Song: https://www.youtube.com/watch?v=VjYVoJURpe8                                                                                                                                                                                                                                               |                                                                                                           |
| 06.07.2018 | elder light                                                           | this could all go away                              | Post-Hardcore                            | https://elderlight.bandcamp.com/album/this-could-all-go-away                                                                                                              | Post-Hardcore EP zum Name-Your-Price Tarif                                                                                                                                                                                                                                                                      |                                                                                                           |
| 06.07.2018 | starfish64                                                            | The Future In Reverse                               | Art Pop                                  | https://starfish64.bandcamp.com/album/the-future-in-reverse                                                                                                               |                                                                                                                                                                                                                                                                                                                 | https://www.betreutesproggen.de/2018/06/starfish64-the-future-in-reverse/                                 |
| 09.07.2018 | Jean-Christophe Cholet, Alban Darche, Mathias Rüegg et Grand Ensemble | Le tombeau de Poulenc                               | Jazz                                     | https://yolkrecords.bandcamp.com/album/le-tombeau-de-poulenc                                                                                                              | Groß orchestrierte Interpretation von Pulencs "Konzert für zwei Klaviere"                                                                                                                                                                                                                                       |                                                                                                           |
| 09.07.2018 | Vespero & Ángel Ontalva                                               | Carta Marina                                        | Psychedelic Rock / Spacerock             | http://music.vespero.ru/album/carta-marina, https://www.facebook.com/Vesperomusic                                                                                         | Zusammenarbeit des spanischen Gitarristen Ángel Ontalva und der russischen Spacerock-Formation Vespero.                                                                                                                                                                                                         |                                                                                                           |
| 10.07.2018 | Edelveiss                                                             | Skull                                               | atmosphärischer Postrock                 | https://edelveiss.bandcamp.com/album/skull, http://www.facebook.com/Edelveiss.music                                                                                       | Sehr schöne, vielseitige, atmosphärische Postrock-EP.                                                                                                                                                                                                                                                           |                                                                                                           |
| 11.07.2018 | Koenji Hyakkei                                                        | DHORIMVISKHA                                        | Zeuhl                                    | https://koenjihyakkei.bandcamp.com/album/dhorimviskha                                                                                                                     | Japanischer Zeuhl für den unerschrockenen Hörer.                                                                                                                                                                                                                                                                |                                                                                                           |
| 12.07.2018 | Mesarthim                                                             | Coma Wall (E.P.)                                    | Depressive Black Intelligent Dance Metal | https://mesarthim.bandcamp.com/album/coma-wall-e-p, https://www.facebook.com/mesarthim.official/                                                                          | Kurzes Depressive Black Intelligent Dance Metal mit ziemlich viel Power.                                                                                                                                                                                                                                        |                                                                                                           |
| 13.07.2018 | Between the Burried and Me                                            | Automata II                                         | Prog-Metal / Mathrock                    | https://open.spotify.com/album/0IwxzTQlZdpwENSg05bcVN?si=7esWdPfDQqCbSBOddb5hfg, http://www.betweentheburiedandme.com/                                                    |                                                                                                                                                                                                                                                                                                                 | https://www.betreutesproggen.de/2018/07/between-the-buried-and-me-automata-ii/                            |
| 13.07.2018 | Big Big Train                                                         | Swan Hunter (Single remix)                          | Folk-Prog (?)                            | https://bigbigtrain.bandcamp.com/album/swan-hunter                                                                                                                        | Live und Remix-Versionen des Songs "Swan Hunter" (original auf dem Album English Electric). Außerdem zwei neue Stücke: Eine neue Version von Seen Better Days mit Tim Bowness als Gastsänger und eine Live-Studio Version von Summer's Lease.                                                                   |                                                                                                           |
| 13.07.2018 | Deafheaven                                                            | Ordinary Corrupt Human Love                         | Blackgaze                                | https://deafheavens.bandcamp.com/album/ordinary-corrupt-human-love, https://www.facebook.com/deafheaven                                                                   | Deafheavens viertes Studioalbum. Schönes Blackgazing, also praktisch ein Mix aus Black Metal und Postrock.                                                                                                                                                                                                      |                                                                                                           |
| 13.07.2018 | Firtan                                                                | Okeanos                                             | Atmosphärischer Blackmetal               | https://firtan.bandcamp.com/album/okeanos, https://www.facebook.com/Firtanofficial                                                                                        | Schwarzmetal mit deutschen Texten von Schiller und Nietzsche.                                                                                                                                                                                                                                                   |                                                                                                           |
| 13.07.2018 | Mystery                                                               | Lies and Butterflies                                | Melodic Rock / AOR                       | https://open.spotify.com/album/0wZS2UwLHCFR2zW9HK7Rtu?si=OKPO9E_oRxipDY3dTPxsJw                                                                                           |                                                                                                                                                                                                                                                                                                                 | https://www.betreutesproggen.de/2018/07/mystery-lies-and-butterflies/                                     |
| 13.07.2018 | Obscura                                                               | Diluvium                                            | Progressive Death Metal                  | https://obscura.bandcamp.com/album/diluvium                                                                                                                               |                                                                                                                                                                                                                                                                                                                 |                                                                                                           |
| 13.07.2018 | Regal Worm                                                            | Pig Views                                           | Progressive Rock / Psychedelic           | https://regalworm.bandcamp.com/album/pig-views, http://www.facebook.com/regalworm, http://regalworm.com/                                                                  | Retroprog mit Canterbury-Feeling vom Multiinstrumentalisten Jarrod Gosling, unterstützt von zahlreichen Gästen.                                                                                                                                                                                                 |                                                                                                           |
| 13.07.2018 | The Machine                                                           | Faceshift                                           | Stonerrock                               | https://the-machine.bandcamp.com/album/faceshift-2                                                                                                                        | Rumpeliger Stonerrock des niederländischen Powertrios.                                                                                                                                                                                                                                                          |                                                                                                           |
| 19.07.2018 | Distorted Harmony                                                     | A Way Out                                           | Progmetal                                | https://distortedharmony.bandcamp.com/album/a-way-out, http://www.facebook.com/distortedharmony                                                                           |                                                                                                                                                                                                                                                                                                                 | https://www.betreutesproggen.de/2018/07/distorted-harmony-a-way-out/                                      |
| 19.07.2018 | Strangefish                                                           | The Spotlight Effect                                | Prog                                     | https://soundcloud.com/strangefish-1/spotlight-effect                                                                                                                     | Klaus sagt: Angenehmer, teils folkiger UK-Progrock                                                                                                                                                                                                                                                              |                                                                                                           |
| 19.07.2018 | Twelfth Night                                                         | Fact And Fiction - The Definitive Edition           | Prog(?)                                  | https://open.spotify.com/album/30kK6ZMD9KVhIhsXmEBpJK?si=_sF6XYLNR5eI0sCHfsfTvg, https://www.youtube.com/watch?v=jnfCiU9SHu4, https://www.youtube.com/watch?v=4giL6m2t7-w | Klaus sagt: Mir strunzpersönlich war die Band (solange Geoff Mann dabei war, R.I.P.) immer wichtiger als Marillion ohne Fish :)                                                                                                                                                                                 | https://www.betreutesproggen.de/2018/07/twelfth-night-fact-and-fiction-the-definitive-edition/            |
| 20.07.2018 | Galasphere 347                                                        | Galasphere 347                                      | Retroprog / Kraut (?)                    | https://galasphere347.bandcamp.com/                                                                                                                                       | Georg sagt: Wenn man liest, in welchen Bands die Musiker schon gespielt haben, könnte man ohne Probleme von einer Supergroup sprechen. Es handelt sich aber im Grunde um den Kern von Weserbergland. 3 Longtracks, symphonisch, spacig, retro, Kraut... Vor allem Genesis-Fans sollten nicht dran vorbei hören. |                                                                                                           |
| 20.07.2018 | KHôRADA                                                               | Salt                                                | Doom / Sludge                            | https://khorada.bandcamp.com/album/salt-luxus                                                                                                                             | Geradezu magisches Sludgemetal-Album.                                                                                                                                                                                                                                                                           |                                                                                                           |
| 20.07.2018 | Khalab                                                                | Black Noise 2084                                    | Future Bass World Music Crossover        | https://onthecornerrecords.bandcamp.com/album/black-noise-2084, https://www.facebook.com/djkhalab/                                                                        | Recht merkwürdige Mischung aus repetitivem Future Bass und Weltmusik, bisweilen mit Jazz-Elementen und Fieldrecordings.                                                                                                                                                                                         |                                                                                                           |
| 20.07.2018 | Southern Empire                                                       | Civilisation                                        | Melodic Rock / AOR                       | https://open.spotify.com/album/0pAL8vc6E8NpJo6ACQeRa1?si=R4Gi_sPfRVC02r5OhTFmyg                                                                                           |                                                                                                                                                                                                                                                                                                                 | https://www.betreutesproggen.de/2018/07/southern-empire-civilisation/                                     |
| 20.07.2018 | To Whom it May                                                        | The Great Filter                                    | Progmetal                                | https://open.spotify.com/album/0JRNAdlR0VO1vJP9eMUpmM?si=YwycYPseRWyh2yknUbtJqQ, http://www.ToWhomItMay.net, https://www.youtube.com/watch?v=n-36cStokkw                  | Etwas härteres Progmetal-Album mit angenehmen Klargesang und radiotauglichen Songs.                                                                                                                                                                                                                             |                                                                                                           |
| 21.07.2018 | Perplextus Joans                                                      | Out the Lights                                      | Darkwave                                 | https://perplextus.bandcamp.com/album/out-the-lights                                                                                                                      | Experimenteller, reichlich depressiver Darkwave. Name Your Price.                                                                                                                                                                                                                                               |                                                                                                           |
| 23.07.2018 | ATAVISMO                                                              | ValdeInfierno                                       | Psych-Prog                               | https://atavismo.bandcamp.com/album/valdeinfierno                                                                                                                         | Proggiger psychedelischer Spacerock aus Andalusien                                                                                                                                                                                                                                                              |                                                                                                           |
| 23.07.2018 | NIRMÃAN                                                               | INDIAN ELECTRIC STATION                             | Weltmusik Crossover                      | https://musiquestetues.bandcamp.com/album/indian-electric-station                                                                                                         | Ziemlich krasser Crossover aus indischem Gesang, traditionellen Instrumenten, Jazz, Pop und Rock                                                                                                                                                                                                                |                                                                                                           |
| 26.07.2018 | Milton Man Gogh                                                       | XXXX Bitter Irony                                   | Progressive Jazz                         | https://miltonmangogh.bandcamp.com/album/xxxx-bitter-irony, https://www.facebook.com/Milton.Man.Gogh/                                                                     | Aktuelles, kurzes Schmankerl der talentierten, australischen Progjazz-Combo.                                                                                                                                                                                                                                    |                                                                                                           |
| 27.07.2018 | Big Big Train                                                         | Merchants of Light (Live)                           | Folk-Prog                                | https://bigbigtrain.bandcamp.com/album/merchants-of-light                                                                                                                 | Livealbum, aufgenommen in der Cadogan Hall, London 2017.                                                                                                                                                                                                                                                        |                                                                                                           |
| 27.07.2018 | Frontierer                                                            | Unloved                                             | Hardcore                                 | https://frontierer.bandcamp.com/album/unloved                                                                                                                             | Ungebremster, brutaler Frontalangriff auf die Hörnerven.                                                                                                                                                                                                                                                        |                                                                                                           |
| 27.07.2018 | Oh.                                                                   | Metallia                                            | Instrumental Progmetal                   | https://music.olitunes.com/album/metallia                                                                                                                                 | Ziemlich technischer Progmetal, deutlich besser als das Albumcover erwarten lässt...                                                                                                                                                                                                                            |                                                                                                           |
| 27.07.2018 | Opus Arise                                                            | Invisible Walls                                     | Neoklassik / Progmetal                   | https://opusarise.bandcamp.com/album/invisible-walls                                                                                                                      | Mix aus klar gespielten Streichinstrumenten und harschem Progmetal                                                                                                                                                                                                                                              |                                                                                                           |
| 27.07.2018 | Redemption                                                            | Long Night's Journey into Day                       | Progmetal                                | https://redemptionband.bandcamp.com/album/long-nights-journey-into-day                                                                                                    | Georg sagt: "The Art Of Loss" empfand ich damals irgendwie als verworren. Das neue Album nimmt da doch wieder deutlich mehr Fahrt auf und wirkt kompakter und homogener. Recht knackiger "klassischer" Progmetal.                                                                                               |                                                                                                           |
| 27.07.2018 | TALONS                                                                | We All Know                                         | Postrock / Postmetal                     | https://gotalons.bandcamp.com/album/we-all-know                                                                                                                           | Postmetal mit Streicher-Unterstützung und kraftvoller Perkussion.                                                                                                                                                                                                                                               |                                                                                                           |
| 29.07.2018 | Deltanaut                                                             | Part I                                              | Spacerock                                | https://deltanaut.bandcamp.com/album/part-i                                                                                                                               | Fett-groovender Spacerock. Name Your Price.                                                                                                                                                                                                                                                                     |                                                                                                           |
| 31.07.2018 | The Mercury Tree + Cryptic Ruse                                       | Cryptic Tree                                        | Glitchy microtonal Math-Rock             | https://themercurytree.bandcamp.com/                                                                                                                                      | Microtonaler Mathrockwahnsinn.                                                                                                                                                                                                                                                                                  |                                                                                                           |
